dna,CDS,OG0000023,OG0000023
dna,CDS,OG0000029,OG0000029
dna,CDS,OG0000032,OG0000032
dna,CDS,OG0000043,OG0000043
dna,CDS,OG0000046,OG0000046
dna,CDS,OG0000047,OG0000047
dna,CDS,OG0000052,OG0000052
dna,CDS,OG0000054,OG0000054
dna,CDS,OG0000057,OG0000057
dna,CDS,OG0000059,OG0000059
dna,CDS,OG0000063,OG0000063
dna,CDS,OG0000070,OG0000070
dna,CDS,OG0000073,OG0000073
dna,CDS,OG0000078,OG0000078
dna,CDS,OG0000079,OG0000079
dna,CDS,OG0000085,OG0000085
dna,CDS,OG0000087,OG0000087
dna,CDS,OG0000088,OG0000088
dna,CDS,OG0000092,OG0000092
dna,CDS,OG0000095,OG0000095
dna,CDS,OG0000097,OG0000097
dna,CDS,OG0000102,OG0000102
dna,CDS,OG0000104,OG0000104
dna,CDS,OG0000106,OG0000106
dna,CDS,OG0000109,OG0000109
dna,CDS,OG0000111,OG0000111
dna,CDS,OG0000112,OG0000112
dna,CDS,OG0000113,OG0000113
dna,CDS,OG0000115,OG0000115
dna,CDS,OG0000117,OG0000117
dna,CDS,OG0000118,OG0000118
dna,CDS,OG0000120,OG0000120
dna,CDS,OG0000128,OG0000128
dna,CDS,OG0000129,OG0000129
dna,CDS,OG0000132,OG0000132
dna,CDS,OG0000133,OG0000133
dna,CDS,OG0000134,OG0000134
dna,CDS,OG0000136,OG0000136
dna,CDS,OG0000139,OG0000139
dna,CDS,OG0000140,OG0000140
dna,CDS,OG0000142,OG0000142
dna,CDS,OG0000143,OG0000143
dna,CDS,OG0000144,OG0000144
dna,CDS,OG0000145,OG0000145
dna,CDS,OG0000146,OG0000146
dna,CDS,OG0000151,OG0000151
dna,CDS,OG0000152,OG0000152
dna,CDS,OG0000153,OG0000153
dna,CDS,OG0000154,OG0000154
dna,CDS,OG0000161,OG0000161
dna,CDS,OG0000162,OG0000162
dna,CDS,OG0000164,OG0000164
dna,CDS,OG0000165,OG0000165
dna,CDS,OG0000166,OG0000166
dna,CDS,OG0000168,OG0000168
dna,CDS,OG0000170,OG0000170
dna,CDS,OG0000172,OG0000172
dna,CDS,OG0000173,OG0000173
dna,CDS,OG0000175,OG0000175
dna,CDS,OG0000176,OG0000176
dna,CDS,OG0000179,OG0000179
dna,CDS,OG0000181,OG0000181
dna,CDS,OG0000183,OG0000183
dna,CDS,OG0000187,OG0000187
dna,CDS,OG0000189,OG0000189
dna,CDS,OG0000192,OG0000192
dna,CDS,OG0000193,OG0000193
dna,CDS,OG0000194,OG0000194
dna,CDS,OG0000195,OG0000195
dna,CDS,OG0000197,OG0000197
dna,CDS,OG0000201,OG0000201
dna,CDS,OG0000205,OG0000205
dna,CDS,OG0000206,OG0000206
dna,CDS,OG0000210,OG0000210
dna,CDS,OG0000211,OG0000211
dna,CDS,OG0000213,OG0000213
dna,CDS,OG0000217,OG0000217
dna,CDS,OG0000219,OG0000219
dna,CDS,OG0000220,OG0000220
dna,CDS,OG0000221,OG0000221
dna,CDS,OG0000222,OG0000222
dna,CDS,OG0000224,OG0000224
dna,CDS,OG0000225,OG0000225
dna,CDS,OG0000226,OG0000226
dna,CDS,OG0000228,OG0000228
dna,CDS,OG0000229,OG0000229
dna,CDS,OG0000230,OG0000230
dna,CDS,OG0000231,OG0000231
dna,CDS,OG0000232,OG0000232
dna,CDS,OG0000233,OG0000233
dna,CDS,OG0000234,OG0000234
dna,CDS,OG0000237,OG0000237
dna,CDS,OG0000238,OG0000238
dna,CDS,OG0000239,OG0000239
dna,CDS,OG0000243,OG0000243
dna,CDS,OG0000244,OG0000244
dna,CDS,OG0000245,OG0000245
dna,CDS,OG0000246,OG0000246
dna,CDS,OG0000248,OG0000248
dna,CDS,OG0000250,OG0000250
dna,CDS,OG0000251,OG0000251
dna,CDS,OG0000252,OG0000252
dna,CDS,OG0000254,OG0000254
dna,CDS,OG0000259,OG0000259
dna,CDS,OG0000260,OG0000260
dna,CDS,OG0000261,OG0000261
dna,CDS,OG0000263,OG0000263
dna,CDS,OG0000264,OG0000264
dna,CDS,OG0000267,OG0000267
dna,CDS,OG0000269,OG0000269
dna,CDS,OG0000273,OG0000273
dna,CDS,OG0000274,OG0000274
dna,CDS,OG0000275,OG0000275
dna,CDS,OG0000276,OG0000276
dna,CDS,OG0000277,OG0000277
dna,CDS,OG0000278,OG0000278
dna,CDS,OG0000279,OG0000279
dna,CDS,OG0000280,OG0000280
dna,CDS,OG0000283,OG0000283
dna,CDS,OG0000284,OG0000284
dna,CDS,OG0000286,OG0000286
dna,CDS,OG0000287,OG0000287
dna,CDS,OG0000289,OG0000289
dna,CDS,OG0000290,OG0000290
dna,CDS,OG0000293,OG0000293
dna,CDS,OG0000294,OG0000294
dna,CDS,OG0000295,OG0000295
dna,CDS,OG0000296,OG0000296
dna,CDS,OG0000299,OG0000299
dna,CDS,OG0000301,OG0000301
dna,CDS,OG0000303,OG0000303
dna,CDS,OG0000304,OG0000304
dna,CDS,OG0000305,OG0000305
dna,CDS,OG0000307,OG0000307
dna,CDS,OG0000308,OG0000308
dna,CDS,OG0000309,OG0000309
dna,CDS,OG0000310,OG0000310
dna,CDS,OG0000311,OG0000311
dna,CDS,OG0000312,OG0000312
dna,CDS,OG0000313,OG0000313
dna,CDS,OG0000315,OG0000315
dna,CDS,OG0000317,OG0000317
dna,CDS,OG0000320,OG0000320
dna,CDS,OG0000322,OG0000322
dna,CDS,OG0000323,OG0000323
dna,CDS,OG0000324,OG0000324
dna,CDS,OG0000325,OG0000325
dna,CDS,OG0000326,OG0000326
dna,CDS,OG0000328,OG0000328
dna,CDS,OG0000329,OG0000329
dna,CDS,OG0000330,OG0000330
dna,CDS,OG0000332,OG0000332
dna,CDS,OG0000333,OG0000333
dna,CDS,OG0000335,OG0000335
dna,CDS,OG0000336,OG0000336
dna,CDS,OG0000337,OG0000337
dna,CDS,OG0000339,OG0000339
dna,CDS,OG0000340,OG0000340
dna,CDS,OG0000341,OG0000341
dna,CDS,OG0000342,OG0000342
dna,CDS,OG0000343,OG0000343
dna,CDS,OG0000344,OG0000344
dna,CDS,OG0000348,OG0000348
dna,CDS,OG0000350,OG0000350
dna,CDS,OG0000351,OG0000351
dna,CDS,OG0000352,OG0000352
dna,CDS,OG0000353,OG0000353
dna,CDS,OG0000354,OG0000354
dna,CDS,OG0000355,OG0000355
dna,CDS,OG0000357,OG0000357
dna,CDS,OG0000359,OG0000359
dna,CDS,OG0000360,OG0000360
dna,CDS,OG0000362,OG0000362
dna,CDS,OG0000363,OG0000363
dna,CDS,OG0000364,OG0000364
dna,CDS,OG0000369,OG0000369
dna,CDS,OG0000370,OG0000370
dna,CDS,OG0000372,OG0000372
dna,CDS,OG0000373,OG0000373
dna,CDS,OG0000374,OG0000374
dna,CDS,OG0000375,OG0000375
dna,CDS,OG0000376,OG0000376
dna,CDS,OG0000377,OG0000377
dna,CDS,OG0000378,OG0000378
dna,CDS,OG0000379,OG0000379
dna,CDS,OG0000381,OG0000381
dna,CDS,OG0000383,OG0000383
dna,CDS,OG0000384,OG0000384
dna,CDS,OG0000387,OG0000387
dna,CDS,OG0000388,OG0000388
dna,CDS,OG0000389,OG0000389
dna,CDS,OG0000391,OG0000391
dna,CDS,OG0000392,OG0000392
dna,CDS,OG0000394,OG0000394
dna,CDS,OG0000395,OG0000395
dna,CDS,OG0000397,OG0000397
dna,CDS,OG0000398,OG0000398
dna,CDS,OG0000400,OG0000400
dna,CDS,OG0000401,OG0000401
dna,CDS,OG0000403,OG0000403
dna,CDS,OG0000404,OG0000404
dna,CDS,OG0000407,OG0000407
dna,CDS,OG0000408,OG0000408
dna,CDS,OG0000410,OG0000410
dna,CDS,OG0000411,OG0000411
dna,CDS,OG0000412,OG0000412
dna,CDS,OG0000413,OG0000413
dna,CDS,OG0000414,OG0000414
