
There are 4566 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
41 instances of CDS,OG0000421
42 instances of CDS,OG0000422
42 instances of CDS,OG0000424
42 instances of CDS,OG0000425
42 instances of CDS,OG0000426
41 instances of CDS,OG0000427
42 instances of CDS,OG0000428
41 instances of CDS,OG0000431
41 instances of CDS,OG0000432
41 instances of CDS,OG0000433
41 instances of CDS,OG0000434
41 instances of CDS,OG0000436
41 instances of CDS,OG0000437
40 instances of CDS,OG0000438
41 instances of CDS,OG0000439
41 instances of CDS,OG0000440
41 instances of CDS,OG0000441
41 instances of CDS,OG0000445
41 instances of CDS,OG0000446
41 instances of CDS,OG0000448
40 instances of CDS,OG0000449
41 instances of CDS,OG0000450
41 instances of CDS,OG0000451
41 instances of CDS,OG0000452
40 instances of CDS,OG0000454
40 instances of CDS,OG0000455
41 instances of CDS,OG0000456
41 instances of CDS,OG0000457
41 instances of CDS,OG0000458
41 instances of CDS,OG0000459
41 instances of CDS,OG0000460
41 instances of CDS,OG0000462
41 instances of CDS,OG0000463
41 instances of CDS,OG0000464
41 instances of CDS,OG0000465
41 instances of CDS,OG0000466
41 instances of CDS,OG0000468
41 instances of CDS,OG0000470
41 instances of CDS,OG0000471
41 instances of CDS,OG0000473
41 instances of CDS,OG0000475
41 instances of CDS,OG0000476
40 instances of CDS,OG0000478
41 instances of CDS,OG0000480
41 instances of CDS,OG0000483
41 instances of CDS,OG0000484
41 instances of CDS,OG0000486
41 instances of CDS,OG0000487
41 instances of CDS,OG0000488
41 instances of CDS,OG0000489
41 instances of CDS,OG0000490
41 instances of CDS,OG0000491
41 instances of CDS,OG0000492
41 instances of CDS,OG0000493
41 instances of CDS,OG0000494
41 instances of CDS,OG0000495
41 instances of CDS,OG0000497
41 instances of CDS,OG0000498
41 instances of CDS,OG0000499
41 instances of CDS,OG0000500
41 instances of CDS,OG0000501
41 instances of CDS,OG0000502
41 instances of CDS,OG0000503
41 instances of CDS,OG0000505
41 instances of CDS,OG0000506
41 instances of CDS,OG0000507
41 instances of CDS,OG0000508
41 instances of CDS,OG0000509
41 instances of CDS,OG0000511
41 instances of CDS,OG0000515
41 instances of CDS,OG0000516
40 instances of CDS,OG0000520
40 instances of CDS,OG0000522
40 instances of CDS,OG0000523
40 instances of CDS,OG0000525
40 instances of CDS,OG0000527
40 instances of CDS,OG0000528
40 instances of CDS,OG0000529
40 instances of CDS,OG0000530
40 instances of CDS,OG0000532
40 instances of CDS,OG0000533
40 instances of CDS,OG0000537
40 instances of CDS,OG0000538
39 instances of CDS,OG0000539
40 instances of CDS,OG0000540
40 instances of CDS,OG0000541
40 instances of CDS,OG0000542
40 instances of CDS,OG0000543
40 instances of CDS,OG0000546
39 instances of CDS,OG0000548
40 instances of CDS,OG0000551
39 instances of CDS,OG0000552
40 instances of CDS,OG0000553
38 instances of CDS,OG0000554
40 instances of CDS,OG0000555
37 instances of CDS,OG0000557
40 instances of CDS,OG0000558
40 instances of CDS,OG0000559
40 instances of CDS,OG0000561
40 instances of CDS,OG0000563
40 instances of CDS,OG0000566
40 instances of CDS,OG0000567
39 instances of CDS,OG0000568
40 instances of CDS,OG0000569
40 instances of CDS,OG0000572
40 instances of CDS,OG0000573
40 instances of CDS,OG0000574
40 instances of CDS,OG0000575
40 instances of CDS,OG0000577
40 instances of CDS,OG0000579
40 instances of CDS,OG0000582
40 instances of CDS,OG0000583
40 instances of CDS,OG0000586
40 instances of CDS,OG0000588
40 instances of CDS,OG0000590
40 instances of CDS,OG0000592
40 instances of CDS,OG0000594
40 instances of CDS,OG0000595
39 instances of CDS,OG0000596
40 instances of CDS,OG0000597
40 instances of CDS,OG0000598
40 instances of CDS,OG0000599
40 instances of CDS,OG0000600
37 instances of CDS,OG0000601
40 instances of CDS,OG0000602
34 instances of CDS,OG0000603
40 instances of CDS,OG0000604
40 instances of CDS,OG0000605
39 instances of CDS,OG0000609
39 instances of CDS,OG0000610
39 instances of CDS,OG0000611
39 instances of CDS,OG0000612
38 instances of CDS,OG0000614
39 instances of CDS,OG0000615
39 instances of CDS,OG0000617
39 instances of CDS,OG0000618
39 instances of CDS,OG0000619
39 instances of CDS,OG0000620
39 instances of CDS,OG0000622
39 instances of CDS,OG0000624
39 instances of CDS,OG0000625
39 instances of CDS,OG0000627
35 instances of CDS,OG0000628
38 instances of CDS,OG0000630
39 instances of CDS,OG0000631
39 instances of CDS,OG0000632
39 instances of CDS,OG0000633
39 instances of CDS,OG0000634
39 instances of CDS,OG0000635
39 instances of CDS,OG0000636
39 instances of CDS,OG0000637
39 instances of CDS,OG0000639
39 instances of CDS,OG0000640
39 instances of CDS,OG0000641
39 instances of CDS,OG0000642
39 instances of CDS,OG0000644
39 instances of CDS,OG0000645
39 instances of CDS,OG0000647
39 instances of CDS,OG0000648
39 instances of CDS,OG0000649
39 instances of CDS,OG0000650
39 instances of CDS,OG0000651
39 instances of CDS,OG0000653
39 instances of CDS,OG0000654
39 instances of CDS,OG0000655
38 instances of CDS,OG0000656
39 instances of CDS,OG0000658
39 instances of CDS,OG0000659
39 instances of CDS,OG0000660
39 instances of CDS,OG0000661
39 instances of CDS,OG0000662
39 instances of CDS,OG0000663
39 instances of CDS,OG0000665
39 instances of CDS,OG0000666
39 instances of CDS,OG0000667
39 instances of CDS,OG0000668
39 instances of CDS,OG0000669
39 instances of CDS,OG0000670
39 instances of CDS,OG0000671
36 instances of CDS,OG0000673
39 instances of CDS,OG0000674
39 instances of CDS,OG0000675
39 instances of CDS,OG0000676
39 instances of CDS,OG0000677
38 instances of CDS,OG0000678
39 instances of CDS,OG0000679
39 instances of CDS,OG0000680
39 instances of CDS,OG0000681
39 instances of CDS,OG0000683
39 instances of CDS,OG0000685
39 instances of CDS,OG0000686
39 instances of CDS,OG0000687
37 instances of CDS,OG0000688
39 instances of CDS,OG0000689
39 instances of CDS,OG0000690
39 instances of CDS,OG0000694
39 instances of CDS,OG0000696
39 instances of CDS,OG0000697
39 instances of CDS,OG0000698
39 instances of CDS,OG0000700
39 instances of CDS,OG0000701
39 instances of CDS,OG0000702
39 instances of CDS,OG0000705
38 instances of CDS,OG0000706
39 instances of CDS,OG0000707
39 instances of CDS,OG0000709
39 instances of CDS,OG0000710
39 instances of CDS,OG0000711
39 instances of CDS,OG0000712
39 instances of CDS,OG0000713
39 instances of CDS,OG0000714
39 instances of CDS,OG0000715
39 instances of CDS,OG0000717
39 instances of CDS,OG0000718
38 instances of CDS,OG0000719
38 instances of CDS,OG0000720
39 instances of CDS,OG0000721
