
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
43 instances of CDS,OG0000389
43 instances of CDS,OG0000391
43 instances of CDS,OG0000392
43 instances of CDS,OG0000394
43 instances of CDS,OG0000395
43 instances of CDS,OG0000396
43 instances of CDS,OG0000397
43 instances of CDS,OG0000399
43 instances of CDS,OG0000401
43 instances of CDS,OG0000403
43 instances of CDS,OG0000404
43 instances of CDS,OG0000405
43 instances of CDS,OG0000406
42 instances of CDS,OG0000407
42 instances of CDS,OG0000409
42 instances of CDS,OG0000410
42 instances of CDS,OG0000411
42 instances of CDS,OG0000413
39 instances of CDS,OG0000414
42 instances of CDS,OG0000415
42 instances of CDS,OG0000416
42 instances of CDS,OG0000417
42 instances of CDS,OG0000418
42 instances of CDS,OG0000419
42 instances of CDS,OG0000420
42 instances of CDS,OG0000421
42 instances of CDS,OG0000422
42 instances of CDS,OG0000424
42 instances of CDS,OG0000425
42 instances of CDS,OG0000426
42 instances of CDS,OG0000427
41 instances of CDS,OG0000429
41 instances of CDS,OG0000430
41 instances of CDS,OG0000432
42 instances of CDS,OG0000433
42 instances of CDS,OG0000435
42 instances of CDS,OG0000438
42 instances of CDS,OG0000439
41 instances of CDS,OG0000440
42 instances of CDS,OG0000441
42 instances of CDS,OG0000442
42 instances of CDS,OG0000443
42 instances of CDS,OG0000444
42 instances of CDS,OG0000445
42 instances of CDS,OG0000446
42 instances of CDS,OG0000447
42 instances of CDS,OG0000448
42 instances of CDS,OG0000449
42 instances of CDS,OG0000452
42 instances of CDS,OG0000453
41 instances of CDS,OG0000454
41 instances of CDS,OG0000455
42 instances of CDS,OG0000458
42 instances of CDS,OG0000460
42 instances of CDS,OG0000461
41 instances of CDS,OG0000462
42 instances of CDS,OG0000463
42 instances of CDS,OG0000466
41 instances of CDS,OG0000467
42 instances of CDS,OG0000469
42 instances of CDS,OG0000470
41 instances of CDS,OG0000471
41 instances of CDS,OG0000472
41 instances of CDS,OG0000473
41 instances of CDS,OG0000474
41 instances of CDS,OG0000477
40 instances of CDS,OG0000478
41 instances of CDS,OG0000479
41 instances of CDS,OG0000480
41 instances of CDS,OG0000481
41 instances of CDS,OG0000482
41 instances of CDS,OG0000483
40 instances of CDS,OG0000484
41 instances of CDS,OG0000485
41 instances of CDS,OG0000486
40 instances of CDS,OG0000487
41 instances of CDS,OG0000488
41 instances of CDS,OG0000489
40 instances of CDS,OG0000490
40 instances of CDS,OG0000491
41 instances of CDS,OG0000493
41 instances of CDS,OG0000495
41 instances of CDS,OG0000496
41 instances of CDS,OG0000497
40 instances of CDS,OG0000498
41 instances of CDS,OG0000499
41 instances of CDS,OG0000500
41 instances of CDS,OG0000501
41 instances of CDS,OG0000502
41 instances of CDS,OG0000503
41 instances of CDS,OG0000504
41 instances of CDS,OG0000506
41 instances of CDS,OG0000508
40 instances of CDS,OG0000510
41 instances of CDS,OG0000512
41 instances of CDS,OG0000513
41 instances of CDS,OG0000514
41 instances of CDS,OG0000515
41 instances of CDS,OG0000517
41 instances of CDS,OG0000519
41 instances of CDS,OG0000520
41 instances of CDS,OG0000521
40 instances of CDS,OG0000524
41 instances of CDS,OG0000525
41 instances of CDS,OG0000526
41 instances of CDS,OG0000527
41 instances of CDS,OG0000529
41 instances of CDS,OG0000530
39 instances of CDS,OG0000531
41 instances of CDS,OG0000533
41 instances of CDS,OG0000534
41 instances of CDS,OG0000537
41 instances of CDS,OG0000541
41 instances of CDS,OG0000542
41 instances of CDS,OG0000543
41 instances of CDS,OG0000545
40 instances of CDS,OG0000547
41 instances of CDS,OG0000548
41 instances of CDS,OG0000549
41 instances of CDS,OG0000550
41 instances of CDS,OG0000551
41 instances of CDS,OG0000552
41 instances of CDS,OG0000553
40 instances of CDS,OG0000554
40 instances of CDS,OG0000555
41 instances of CDS,OG0000556
40 instances of CDS,OG0000557
37 instances of CDS,OG0000558
40 instances of CDS,OG0000559
41 instances of CDS,OG0000562
41 instances of CDS,OG0000563
41 instances of CDS,OG0000564
40 instances of CDS,OG0000565
41 instances of CDS,OG0000566
41 instances of CDS,OG0000567
41 instances of CDS,OG0000569
38 instances of CDS,OG0000570
40 instances of CDS,OG0000573
40 instances of CDS,OG0000574
40 instances of CDS,OG0000576
39 instances of CDS,OG0000577
40 instances of CDS,OG0000578
39 instances of CDS,OG0000579
40 instances of CDS,OG0000580
40 instances of CDS,OG0000581
40 instances of CDS,OG0000582
40 instances of CDS,OG0000583
40 instances of CDS,OG0000584
40 instances of CDS,OG0000585
40 instances of CDS,OG0000586
40 instances of CDS,OG0000587
40 instances of CDS,OG0000589
40 instances of CDS,OG0000590
40 instances of CDS,OG0000591
39 instances of CDS,OG0000592
40 instances of CDS,OG0000593
40 instances of CDS,OG0000594
40 instances of CDS,OG0000595
40 instances of CDS,OG0000596
40 instances of CDS,OG0000597
40 instances of CDS,OG0000599
39 instances of CDS,OG0000602
40 instances of CDS,OG0000603
40 instances of CDS,OG0000604
40 instances of CDS,OG0000607
40 instances of CDS,OG0000609
40 instances of CDS,OG0000610
39 instances of CDS,OG0000611
40 instances of CDS,OG0000612
40 instances of CDS,OG0000613
40 instances of CDS,OG0000614
40 instances of CDS,OG0000615
40 instances of CDS,OG0000616
40 instances of CDS,OG0000619
40 instances of CDS,OG0000620
40 instances of CDS,OG0000621
40 instances of CDS,OG0000622
40 instances of CDS,OG0000624
40 instances of CDS,OG0000625
40 instances of CDS,OG0000626
40 instances of CDS,OG0000627
39 instances of CDS,OG0000630
39 instances of CDS,OG0000631
40 instances of CDS,OG0000633
40 instances of CDS,OG0000634
40 instances of CDS,OG0000635
40 instances of CDS,OG0000636
40 instances of CDS,OG0000637
40 instances of CDS,OG0000638
40 instances of CDS,OG0000639
40 instances of CDS,OG0000640
40 instances of CDS,OG0000641
40 instances of CDS,OG0000642
39 instances of CDS,OG0000643
39 instances of CDS,OG0000644
39 instances of CDS,OG0000646
40 instances of CDS,OG0000647
40 instances of CDS,OG0000648
40 instances of CDS,OG0000649
40 instances of CDS,OG0000650
40 instances of CDS,OG0000651
40 instances of CDS,OG0000652
40 instances of CDS,OG0000654
40 instances of CDS,OG0000655
40 instances of CDS,OG0000658
39 instances of CDS,OG0000659
40 instances of CDS,OG0000662
40 instances of CDS,OG0000663
40 instances of CDS,OG0000664
40 instances of CDS,OG0000665
38 instances of CDS,OG0000666
40 instances of CDS,OG0000667
38 instances of CDS,OG0000668
40 instances of CDS,OG0000669
40 instances of CDS,OG0000671
40 instances of CDS,OG0000673
39 instances of CDS,OG0000675
40 instances of CDS,OG0000676
40 instances of CDS,OG0000679
40 instances of CDS,OG0000680
33 instances of CDS,OG0000681
40 instances of CDS,OG0000682
39 instances of CDS,OG0000683
37 instances of CDS,OG0000687
39 instances of CDS,OG0000688
39 instances of CDS,OG0000691
39 instances of CDS,OG0000692
39 instances of CDS,OG0000693
